customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Churn_Probability_percent,Risk_Level,Retention_Action
7590-VHVEG,Female,0,Yes,No,1,DSL,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,0.612470915706575,61.247091570657496,Medium Risk,Protective Engagement
5575-GNVDE,Male,0,No,No,34,DSL,Yes,No,One year,No,Mailed check,56.95,1889.5,0,0.04387821864704753,4.387821864704753,Low Risk,Regular engagement
3668-QPYBK,Male,0,No,No,2,DSL,Yes,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,0.3012471490902892,30.12471490902892,Low Risk,Regular engagement
7795-CFOCW,Male,0,No,No,45,DSL,Yes,Yes,One year,No,Bank transfer (automatic),42.3,1840.75,0,0.028139978353536738,2.813997835353674,Low Risk,Regular engagement
9237-HQITU,Female,0,No,No,2,Fiber optic,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,0.6899276408722517,68.99276408722517,Medium Risk,Protective Engagement
9305-CDSKC,Female,0,No,No,8,Fiber optic,No,No,Month-to-month,Yes,Electronic check,99.65,820.5,1,0.7970814648542518,79.70814648542517,High Risk,Immediate retention intervention
1452-KIOVK,Male,0,No,Yes,22,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,0.48926736696436823,48.926736696436826,Medium Risk,Protective Engagement
6713-OKOMC,Female,0,No,No,10,DSL,Yes,No,Month-to-month,No,Mailed check,29.75,301.9,0,0.29376178606252984,29.376178606252985,Low Risk,Regular engagement
7892-POOKP,Female,0,Yes,No,28,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,0.6241754075831045,62.41754075831045,Medium Risk,Protective Engagement
6388-TABGU,Male,0,No,Yes,62,DSL,Yes,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,0.010501679817791345,1.0501679817791345,Low Risk,Regular engagement
9763-GRSKD,Male,0,Yes,Yes,13,DSL,Yes,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,0.20631848168810993,20.631848168810993,Low Risk,Regular engagement
7469-LKBCI,Male,0,No,No,16,No,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,0.027573520334896136,2.7573520334896138,Low Risk,Regular engagement
8091-TTVAX,Male,0,Yes,No,58,Fiber optic,No,No,One year,No,Credit card (automatic),100.35,5681.1,0,0.1797801025712043,17.97801025712043,Low Risk,Regular engagement
0280-XJGEX,Male,0,No,No,49,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,0.43674940379647276,43.674940379647275,Medium Risk,Protective Engagement
5129-JLPIS,Male,0,No,No,25,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,0.4615544593296665,46.15544593296665,Medium Risk,Protective Engagement
3655-SNQYZ,Female,0,Yes,Yes,69,Fiber optic,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,0.03223847377251174,3.223847377251174,Low Risk,Regular engagement
8191-XWSZG,Female,0,No,No,52,No,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,0.010827198078538639,1.0827198078538638,Low Risk,Regular engagement
9959-WOFKT,Male,0,No,Yes,71,Fiber optic,Yes,No,Two year,No,Bank transfer (automatic),106.7,7382.25,0,0.04148722634777774,4.148722634777774,Low Risk,Regular engagement
4190-MFLUW,Female,0,Yes,Yes,10,DSL,No,Yes,Month-to-month,No,Credit card (automatic),55.2,528.35,1,0.15349198279197462,15.349198279197463,Low Risk,Regular engagement
4183-MYFRB,Female,0,No,No,21,Fiber optic,No,No,Month-to-month,Yes,Electronic check,90.05,1862.9,0,0.5627298258775054,56.27298258775054,Medium Risk,Protective Engagement
8779-QRDMV,Male,1,No,No,1,DSL,No,No,Month-to-month,Yes,Electronic check,39.65,39.65,1,0.7248340344132999,72.48340344132998,High Risk,Immediate retention intervention
1680-VDCWW,Male,0,Yes,No,12,No,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,0.0633496745312446,6.3349674531244595,Low Risk,Regular engagement
1066-JKSGK,Male,0,No,No,1,No,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,0.19256377924575815,19.256377924575816,Low Risk,Regular engagement
3638-WEABW,Female,0,Yes,No,58,DSL,No,Yes,Two year,Yes,Credit card (automatic),59.9,3505.1,0,0.01679627563071404,1.679627563071404,Low Risk,Regular engagement
6322-HRPFA,Male,0,Yes,Yes,49,DSL,Yes,Yes,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,0.025551958510392908,2.555195851039291,Low Risk,Regular engagement
6865-JZNKO,Female,0,No,No,30,DSL,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,0.1117439733589095,11.17439733589095,Low Risk,Regular engagement
6467-CHFZW,Male,0,Yes,Yes,47,Fiber optic,No,No,Month-to-month,Yes,Electronic check,99.35,4749.15,1,0.49541446146735074,49.541446146735076,Medium Risk,Protective Engagement
8665-UTDHZ,Male,0,Yes,Yes,1,DSL,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,0.46819571723854597,46.819571723854594,Medium Risk,Protective Engagement
5248-YGIJN,Male,0,Yes,No,72,DSL,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,0.015684014858191538,1.5684014858191537,Low Risk,Regular engagement
8773-HHUOZ,Female,0,No,Yes,17,DSL,No,No,Month-to-month,Yes,Mailed check,64.7,1093.1,1,0.35400456146584564,35.40045614658457,Low Risk,Regular engagement
3841-NFECX,Female,1,Yes,No,71,Fiber optic,Yes,Yes,Two year,Yes,Credit card (automatic),96.35,6766.95,0,0.02777987610615747,2.777987610615747,Low Risk,Regular engagement
4929-XIHVW,Male,1,Yes,No,2,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0.7286118353022963,72.86118353022964,High Risk,Immediate retention intervention
6827-IEAUQ,Female,0,Yes,Yes,27,DSL,Yes,Yes,One year,No,Mailed check,66.15,1874.45,0,0.029703045457178962,2.9703045457178963,Low Risk,Regular engagement
7310-EGVHZ,Male,0,No,No,1,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0.18066917308852284,18.066917308852286,Low Risk,Regular engagement
3413-BMNZE,Male,1,No,No,1,DSL,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0.3662878953075049,36.62878953075049,Low Risk,Regular engagement
6234-RAAPL,Female,0,Yes,Yes,72,Fiber optic,Yes,Yes,Two year,No,Bank transfer (automatic),99.9,7251.7,0,0.019892092984202005,1.9892092984202006,Low Risk,Regular engagement
6047-YHPVI,Male,0,No,No,5,Fiber optic,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,0.6767319582032572,67.67319582032572,Medium Risk,Protective Engagement
6572-ADKRS,Female,0,No,No,46,Fiber optic,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,0.2540163279003411,25.401632790034114,Low Risk,Regular engagement
5380-WJKOV,Male,0,No,No,34,Fiber optic,No,No,Month-to-month,Yes,Electronic check,106.35,3549.25,1,0.6148333889773407,61.48333889773407,Medium Risk,Protective Engagement
8168-UQWWF,Female,0,No,No,11,Fiber optic,No,No,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,0.7216946641723526,72.16946641723526,High Risk,Immediate retention intervention
